Incident Number,Incident Type,Level,Occurred On,Location,Facility,Informed By
CI09-14,Media - Presence at facility,Major,23/04/09 6:35,Phosphate Hill Site,GSL-Christmas Island,
CI09-15,Media - Presence at facility,Major,1/05/09 10:44,Public recreation area of sports grounds at Phosphate Hill,GSL-Christmas Island,
CI09-16,Emergency medical attention - off site,Major,2/05/09 9:55,Foxtrot Compound,GSL-Christmas Island,
CI09-17,Emergency medical attention - off site,Major,8/05/09 9:41,Phosphate Hill - IDC,GSL-Christmas Island,
CI09-18,"Accident - To client, minor",Minor,17/05/09 9:25,Outside the Gym room Phosphate Hill camp,GSL-Christmas Island,
CI09-20,Emergency medical attention - off site,Major,22/05/09 3:00,Blue compound,GSL-Christmas Island,
CI09-21,Emergency medical attention - on site,Major,25/05/09 5:26,Construction Camp (Charlie Compound) Rec room/Wet mess,GSL-Christmas Island,
CI09-22,Emergency medical attention - off site,Major,25/05/09 8:30,Bravo block of Charlie Compound ( Con Camp),GSL-Christmas Island,
CI09-23,Damage to facility - Less serious,Minor,25/05/09 6:00,Vehicle entry gate to Phosphate Hill Centre,GSL-Christmas Island,
CI09-24,Emergency medical attention - off site,Major,27/05/09 7:40,Charlie Compound ( con camp) Gym/rec room,GSL-Christmas Island,
CI09-25,"Accident - To client, minor",Minor,29/05/09 8:00,Soccer Area,GSL-Christmas Island,
CI09-26,Emergency medical attention - off site,Major,5/06/09 3:10,Phosphate Hill Medical Centre,GSL-Christmas Island,
CI09-29,Self harm - Attempted,Major,10/06/09 12:15,"Phosphate Hill - APOD, F Block, Rm 38",GSL-Christmas Island,
CI09-27,"Accident - To client, minor",Minor,8/06/09 4:20,Construction Camp Compound,GSL-Christmas Island,
CI09-28,Emergency medical attention - off site,Major,9/06/09 2:20,Charlie Compound (Con Camp),GSL-Christmas Island,
CI09-30,Emergency medical attention - off site,Major,20/06/09 7:30,North West Point Christmas Island,GSL-Christmas Island,
CI09-31,Emergency medical attention - on site,Major,22/06/09 10:00,Green 2 Compound North West Point Christmas Island,GSL-Christmas Island,
CI09-32,Media - Approach staff/clients,Major,29/06/09 4:30,Sports Ground at Phospate Hill,GSL-Christmas Island,
CI09-33,Disturbance - Minor,Minor,6/07/09 4:40,Oval,GSL-Christmas Island,
CI09-34,Emergency medical attention - off site,Major,12/07/09 4:00,Christmas Island Hospital,GSL-Christmas Island,
CI09-35,Emergency medical attention - on site,Major,17/07/09 2:58,Charlie Compound ( Con Camp) Bravo Block room 30,GSL-Christmas Island,
CI09-36,Emergency medical attention - off site,Major,17/07/09 12:30,Medical Centre Construction Camp Christmas Island detention Centre,GSL-Christmas Island,
CI09-37,Emergency medical attention - off site,Major,18/07/09 1:15,"CIIDC, Phosphate Hill Charlie Compound",GSL-Christmas Island,
CI09-39,"Accident - To client, minor",Minor,24/07/09 1:05,Rec Room outside the Dining Room,GSL-Christmas Island,
CI09-40,Damage to facility - Less serious,Minor,26/07/09 7:30,Charlie compound H block Room H07,GSL-Christmas Island,
CI09-41,Emergency medical attention - on site,Major,29/07/09 6:20,Echo block room 11,GSL-Christmas Island,
CI09-43,Assault - not occasioning bodily harm - Client on client,Minor,8/08/09 5:55,Phosphate Hill APOD,GSL-Christmas Island,
CI09-44,"Accident - To staff, minor",Minor,22/08/09 2:20,Front gate of Construction Camp,GSL-Christmas Island,
CI09-45,Emergency medical attention - off site,Major,8/09/09 2:20,Control Phosphate hill,GSL-Christmas Island,
CI09-46,"Accident - To client, minor",Minor,10/09/09 5:00,Phosphate Hill Sports Oval,GSL-Christmas Island,
MB09-121,Abusive / Aggressive behaviour - by client,Minor,11/09/09 3:56,Zone C,GSL-Maribyrnong,
MB09-119,Emergency medical attention - off site,Major,9/09/09 1:55,Medical,GSL-Maribyrnong,
MB09-120,Assault - allegation / suspicion - Client on client,Major,10/09/09 3:30,Room A2,GSL-Maribyrnong,
MB09-123,Abusive / Aggressive behaviour - by client,Minor,14/09/09 6:05,Zone A Recreation Room,GSL-Maribyrnong,
MB09-122,Damage to facility - Less serious,Minor,13/09/09 2:04,Zone C,GSL-Maribyrnong,
MB09-124,Media - Approach staff/clients,Major,21/09/09 10:00,4 Norwood Pl Flemington,GSL-Maribyrnong,
MB09-125,Media - Presence at facility,Major,21/09/09 3:40,MIDC Driveway,GSL-Maribyrnong,
MB09-126,Notification to State / Territory authorities,Minor,21/09/09 6:55,A4,GSL-Maribyrnong,
MB09-127,"Accident - To staff, minor",Minor,23/09/09 12:00,Zone E courtyard,GSL-Maribyrnong,
MB09-129,Removal - Aborted,Major,15/10/09 10:15,DIAC office Melbourne International Airport,GSL-Maribyrnong,
MB09-128,Abusive / Aggressive behaviour - by client,Minor,12/10/09 10:04,Zone A Corridor,GSL-Maribyrnong,
MB09-118,Emergency medical attention - off site,Major,5/09/09 1:00,Zone D,GSL-Maribyrnong,
MB09-115,Prohibited article - other - found,Minor,5/08/09 11:30,DOC office,GSL-Maribyrnong,
MB09-116,Removal - Aborted,Major,17/08/09 1:40,Melbourne Airport,GSL-Maribyrnong,
MB09-117,Removal - Aborted,Major,21/08/09 9:25,MIDC,GSL-Maribyrnong,
MB09-113,Abusive / Aggressive behaviour - by client,Minor,29/07/09 11:00,Zone A,GSL-Maribyrnong,
MB09-114,Notification to State / Territory authorities,Minor,5/08/09 12:21,Staff dinning room,GSL-Maribyrnong,
MB09-112,Abusive / Aggressive behaviour - by client,Minor,23/07/09 10:25,Zone A,GSL-Maribyrnong,
MB09-111,Visits - Other visitor refused access,Minor,19/07/09 1:55,Reception,GSL-Maribyrnong,
MB09-109,Notification to State / Territory authorities,Minor,16/07/09 5:52,Zone A Room 10,GSL-Maribyrnong,
MB09-108,Emergency medical attention - off site,Major,4/07/09 12:20,Medical Office,GSL-Maribyrnong,
MB09-107,Use of instruments of restraint,Minor,1/07/09 8:27,In transit to VIDC,GSL-Maribyrnong,
MB09-106,Emergency medical attention - on site,Major,28/06/09 10:40,Zone C,GSL-Maribyrnong,
MB09-99,Voluntary starvation - Under 24 hours,Minor,25/06/09 5:20,Zone A,GSL-Maribyrnong,
MB09-100,Prohibited article - other - found,Minor,26/06/09 10:43,"Zone B, Room 4.",GSL-Maribyrnong,
MB09-101,Notification to State / Territory authorities,Minor,26/06/09 10:20,"Zone B, Room 4",GSL-Maribyrnong,
MB09-103,Voluntary starvation - Over 24 hours,Major,26/06/09 5:25,Zone A,GSL-Maribyrnong,
MB09-104,Use of force - By staff,Major,26/06/09 6:00,Zone A,GSL-Maribyrnong,
MB09-105,Voluntary  Starvation - End of,Minor,27/06/09 5:45,Zone A,GSL-Maribyrnong,
MB09-97,Damage to facility - Less serious,Minor,24/06/09 5:40,Zone A Computers,GSL-Maribyrnong,
MB09-98,Use of instruments of restraint,Minor,24/06/09 7:41,Sydney Domestic Airport,GSL-Maribyrnong,
MB09-94,Assault - allegation / suspicion - Client on client,Major,16/06/09 3:52,Zone A doorway to Courtyard near fridges,GSL-Maribyrnong,
MB09-95,Emergency medical attention - off site,Major,18/06/09 8:00,Zone A,GSL-Maribyrnong,
MB09-96,Self Harm - Threatened,Major,18/06/09 8:00,Zone A Courtyard,GSL-Maribyrnong,
MB09-93,"Accident - To staff, minor",Minor,7/06/09 9:55,Zone D Room 29,GSL-Maribyrnong,
MB09-90,Use of instruments of restraint,Minor,29/05/09 1:26,Property,GSL-Maribyrnong,
MB09-89,Abusive / Aggressive behaviour - by client,Minor,27/05/09 10:15,Visits,GSL-Maribyrnong,
MB09-87,Notification to State / Territory authorities,Minor,23/05/09 8:03,Zone A Room 2,GSL-Maribyrnong,
MB09-88,Emergency medical attention - on site,Major,23/05/09 10:01,Corridor before entry door to Zones (before main Visits entry),GSL-Maribyrnong,
MB09-85,Use of instruments of restraint,Minor,22/05/09 12:05,Zone C MIDC,GSL-Maribyrnong,
MB09-84,Abusive / Aggressive behaviour - by client,Minor,19/05/09 3:15,Zone A,GSL-Maribyrnong,
MB09-83,Prohibited article - other - found,Minor,19/05/09 11:00,Rm 1 Zone B,GSL-Maribyrnong,
MB09-82,Escape from alternative place of detention - Successful,Critical,15/05/09 3:00,"Car park 78 Moreland Rd, Brunswick Victoria",GSL-Maribyrnong,
MB09-81,Self Harm - Threatened,Major,4/05/09 3:09,"Rm 30, Zone D",GSL-Maribyrnong,
MB09-79,Self harm - Attempted,Major,5/05/09 3:45,Zone C2,GSL-Maribyrnong,
MB09-80,Disturbance - Minor,Minor,5/05/09 5:44,Zone A,GSL-Maribyrnong,
MB09-78,Media - Approach staff/clients,Major,30/04/09 6:00,Control Room,GSL-Maribyrnong,
MB09-77,Emergency medical attention - off site,Major,28/04/09 4:00,MIDC,GSL-Maribyrnong,
MB09-72,Use of instruments of restraint,Minor,22/04/09 7:20,Zone C,GSL-Maribyrnong,
MB09-74,Emergency medical attention - on site,Major,22/04/09 5:05,Zone A,GSL-Maribyrnong,
MB09-75,Notification to State / Territory authorities,Minor,24/04/09 6:56,MITA,GSL-Maribyrnong,
MB09-76,Abusive / Aggressive behaviour - by client,Minor,25/04/09 6:30,Zone A Rec Area,GSL-Maribyrnong,
MB09-73,Use of instruments of restraint,Minor,22/04/09 7:20,Zone C,GSL-Maribyrnong,
MB09-71,Use of instruments of restraint,Minor,21/04/09 2:50,Zone C,GSL-Maribyrnong,
MB09-68,Disturbance - Major,Major,20/04/09 6:45,Zone E,GSL-Maribyrnong,
MB09-69,Media - Presence at facility,Major,21/04/09 9:00,Facility Drive way,GSL-Maribyrnong,
MB09-70,Damage to facility - Less serious,Minor,20/04/09 4:40,Zone E,GSL-Maribyrnong,
MB09-66,Abusive / Aggressive behaviour - by client,Minor,18/04/09 7:00,MIDC Zone E,GSL-Maribyrnong,
MB09-67,Assault - allegation / suspicion - Client on client,Major,18/04/09 9:30,MIDC Zone E court yard,GSL-Maribyrnong,
MB09-65,Abusive / Aggressive behaviour - by client,Minor,17/04/09 4:00,Zone B Rec area.,GSL-Maribyrnong,
MB09-64,Damage to facility - Less serious,Minor,9/04/09 4:40,Zone E games room and toilet area,GSL-Maribyrnong,
MB09-59,Assault - not occasioning bodily harm - Client on client,Minor,7/04/09 1:01,Zone A Rec Area,GSL-Maribyrnong,
MB09-60,Disturbance - Minor,Minor,8/04/09 4:15,MIDC Property office,GSL-Maribyrnong,
MB09-61,Security keys unaccounted for or tampered with,Major,8/04/09 5:15,Admin,GSL-Maribyrnong,
MB09-62,Emergency medical attention - off site,Major,9/04/09 3:30,MIDC Property,GSL-Maribyrnong,
MB09-53,Damage to facility - Less serious,Minor,23/03/09 7:15,MIDC garage,GSL-Maribyrnong,
MB09-57,Emergency medical attention - off site,Major,3/04/09 11:45,Medical Station,GSL-Maribyrnong,
MB09-58,Abusive / Aggressive behaviour - by client,Minor,3/04/09 11:45,Zone B Rec Area,GSL-Maribyrnong,
MB09-56,Emergency medical attention - off site,Major,31/03/09 2:00,Zone B common room,GSL-Maribyrnong,
MB09-18,Assault - occasioning actual bodily harm - Client on client,Major,31/01/09 6:25,Zone A Rec Area,GSL-Maribyrnong,
MB09-19,Use of instruments of restraint,Minor,2/02/09 8:40,Property/Reception area,GSL-Maribyrnong,
MB09-21,Use of instruments of restraint,Minor,5/02/09 12:20,Property and Dentist Footscray,GSL-Maribyrnong,
MB09-22,Visits - Other visitor refused access,Minor,5/02/09 3:15,Reception,GSL-Maribyrnong,
MB09-23,Emergency medical attention - off site,Major,9/02/09 3:15,Medical Station,GSL-Maribyrnong,
MB09-25,Use of instruments of restraint,Minor,12/02/09 11:20,Property,GSL-Maribyrnong,
MB09-27,Emergency medical attention - off site,Major,13/02/09 11:24,Medical Centre,GSL-Maribyrnong,
MB09-24,Damage to facility - Less serious,Minor,11/02/09 7:25,Zone E Rm 57,GSL-Maribyrnong,
MB09-29,Emergency medical attention - off site,Major,19/02/09 10:35,Zone D Room 29,GSL-Maribyrnong,
MB09-30,Use of instruments of restraint,Minor,20/02/09 7:10,Property,GSL-Maribyrnong,
MB09-31,Damage to facility - Less serious,Minor,22/02/09 3:05,"Room 59, Zone E",GSL-Maribyrnong,
MB09-33,Use of instruments of restraint,Minor,24/02/09 7:30,Zone C,GSL-Maribyrnong,
MB09-35,Emergency medical attention - off site,Major,24/02/09 6:30,Grassed Area,GSL-Maribyrnong,
MB09-32,Assault - allegation / suspicion - Client on client,Major,22/02/09 9:35,Zone A,GSL-Maribyrnong,
MB09-36,Assault - occasioning actual bodily harm - Client on client,Major,27/02/09 11:56,MIDC Zone A recreation area.,GSL-Maribyrnong,
MB09-37,Assault - not occasioning bodily harm - Client on client,Minor,27/02/09 1:46,MIDC Zone A court yard,GSL-Maribyrnong,
MB09-38,Disturbance - Minor,Minor,28/02/09 5:20,Zone C day room,GSL-Maribyrnong,
MB09-39,Systems Failure,Major,1/03/09 11:10,Property Reception/garage,GSL-Maribyrnong,
MB09-40,Emergency medical attention - on site,Major,5/03/09 12:20,Zone D Room 30,GSL-Maribyrnong,
MB09-41,Emergency medical attention - off site,Major,6/03/09 4:21,Grassed Area,GSL-Maribyrnong,
MB09-42,Assault - occasioning actual bodily harm - Client on client,Major,7/03/09 7:15,Zone E Toilets,GSL-Maribyrnong,
MB09-43,Systems Failure,Major,8/03/09 12:21,MIDC,GSL-Maribyrnong,
MB09-46,Emergency medical attention - off site,Major,11/03/09 5:10,"Between Warnambool and Colac, Victoria",GSL-Maribyrnong,
MB09-47,Notification to State / Territory authorities,Minor,14/03/09 10:55,Zone 7 Centre West,GSL-Maribyrnong,
MB09-48,Damage to facility - Less serious,Minor,15/03/09 1:35,Zone E Games Area 2nd Perspex Window,GSL-Maribyrnong,
MB09-50,Disturbance - Minor,Minor,19/03/09 12:40,Zone E Courtyard,GSL-Maribyrnong,
MB09-51,Systems Failure,Major,19/03/09 4:40,Reception Centre/Property/DOC Office/Zone A/Zone B/Zone C/Fire Panel,GSL-Maribyrnong,
MB09-49,Damage to facility - Less serious,Minor,18/03/09 8:40,Zone E enrty from phones to games room,GSL-Maribyrnong,
MB09-52,Emergency medical attention - off site,Major,21/03/09 10:00,MIDC,GSL-Maribyrnong,
MB09-54,Use of force - By staff,Major,26/03/09 7:10,Dining Room #1,GSL-Maribyrnong,
MB09-55,Removal - Aborted,Major,26/03/09 9:40,"Bangkok, THAILAND",GSL-Maribyrnong,
MB09-15,Disturbance - Minor,Minor,22/01/09 3:30,Zone E Rec Room,GSL-Maribyrnong,
MB09-1,Escape from an immigration detention facility (includes mass escape) - Successful,Critical,10/01/09 7:17,"Zone 5, Grassed Area",GSL-Maribyrnong,
MB09-2,Escape from an immigration detention facility (includes mass escape) - Successful,Critical,10/01/09 7:36,"Zone 5, Grassed Area",GSL-Maribyrnong,
MB09-3,Abusive / Aggressive behaviour - by client,Minor,11/01/09 9:36,Zone B,GSL-Maribyrnong,
MB09-4,Escape from an immigration detention facility (includes mass escape) - Attempted,Major,12/01/09 12:24,Grassed aread gate Zone 5,GSL-Maribyrnong,
MB09-5,Emergency medical attention - off site,Major,12/01/09 1:00,Outside perimeter fence Zone 5,GSL-Maribyrnong,
MB09-6,Media - Presence at facility,Major,12/01/09 1:45,Driveway outside front Reception gates,GSL-Maribyrnong,
MB09-7,Prohibited article - other - brought in by visitor,Minor,12/01/09 3:00,Reception Centre,GSL-Maribyrnong,
MB09-8,Visits - Other visitor refused access,Minor,12/01/09 3:05,Reception,GSL-Maribyrnong,
MB09-9,Use of instruments of restraint,Minor,12/01/09 1:20,On Emergency Escort to Western General Hospital,GSL-Maribyrnong,
MB09-10,Use of force - By staff,Major,13/01/09 2:05,Interview room 2,GSL-Maribyrnong,
MB09-12,Media - Presence at facility,Major,15/01/09 10:56,Driveway of MIDC,GSL-Maribyrnong,
MB09-13,Abusive / Aggressive behaviour - by client,Minor,15/01/09 10:10,Zone E,GSL-Maribyrnong,
MB09-14,Abusive / Aggressive behaviour - by client,Minor,15/01/09 11:45,Zone E Rec Area,GSL-Maribyrnong,
MB09-11,Abusive / Aggressive behaviour - by client,Minor,13/01/09 7:15,Zone E,GSL-Maribyrnong,
MB08-217,Assault - allegation / suspicion - Client on client,Major,21/12/08 5:15,Room E55,GSL-Maribyrnong,
MB08-218,Use of instruments of restraint,Minor,22/12/08 3:03,Interview room 1,GSL-Maribyrnong,
MB08-219,Use of instruments of restraint,Minor,23/12/08 11:00,Property,GSL-Maribyrnong,
MB08-222,Use of instruments of restraint,Minor,23/12/08 11:14,Property Office,GSL-Maribyrnong,
MB08-223,Abusive / Aggressive behaviour - by client,Minor,23/12/08 10:20,Zone D&E,GSL-Maribyrnong,
MB08-224,Notification to State / Territory authorities,Minor,27/12/08 10:02,MIDC Zone A Rm2,GSL-Maribyrnong,
MB08-216,Systems Failure,Major,20/12/08 8:50,"Zones A, B and C",GSL-Maribyrnong,
MB08-215,Disturbance - Minor,Minor,15/12/08 7:10,"Zone A officers station, Maribrynong Immigration Detention Centre.",GSL-Maribyrnong,
MB08-213,Emergency medical attention - off site,Major,14/12/08 6:30,Zone A,GSL-Maribyrnong,
MB08-214,Escape from alternative place of detention - Successful,Critical,14/12/08 7:16,"Western General Hospital, Footscray",GSL-Maribyrnong,
MB08-212,Assault - allegation / suspicion - Staff on client,Major,13/12/08 12:00,Unknown,GSL-Maribyrnong,
MB08-206,Abusive / Aggressive behaviour - by client,Minor,7/12/08 2:50,Client visits entry hall,GSL-Maribyrnong,
MB08-207,Assault - allegation / suspicion - Client on client,Major,7/12/08 5:22,Zone A,GSL-Maribyrnong,
MB08-208,Abusive / Aggressive behaviour - by client,Minor,11/12/08 1:30,MIDC male dorm zone 'E',GSL-Maribyrnong,
MB08-209,Self Harm - Threatened,Major,12/12/08 4:10,Psychologists office,GSL-Maribyrnong,
MB08-210,Escape from an immigration detention facility (includes mass escape) - Successful,Critical,13/12/08 12:14,Zone A Grassed area,GSL-Maribyrnong,
MB08-211,Voluntary starvation - Over 24 hours,Major,13/12/08 7:10,Zone C,GSL-Maribyrnong,
MB08-198,Abusive / Aggressive behaviour - by client,Minor,23/11/08 2:00,Main Corridor between Zone B and Zone A,GSL-Maribyrnong,
MB08-199,Emergency medical attention - on site,Major,24/11/08 12:52,Medical,GSL-Maribyrnong,
MB08-200,Assault - not occasioning bodily harm - Client on client,Minor,24/11/08 7:50,Zone B,GSL-Maribyrnong,
MB08-201,Emergency medical attention - off site,Major,25/11/08 12:11,MIDC Zone 'A' office,GSL-Maribyrnong,
MB08-196,Abusive / Aggressive behaviour - by client,Minor,21/11/08 5:22,Dining Room,GSL-Maribyrnong,
MB08-197,Abusive / Aggressive behaviour - by client,Minor,21/11/08 9:58,Zone A near room 10,GSL-Maribyrnong,
MB08-202,Emergency medical attention - off site,Major,30/11/08 3:55,Zone A,GSL-Maribyrnong,
MB08-204,Abusive / Aggressive behaviour - by client,Minor,2/12/08 6:45,Zone A,GSL-Maribyrnong,
MB08-203,Disturbance - Minor,Minor,2/12/08 12:30,Client dining room,GSL-Maribyrnong,
MB08-205,Damage to facility - Less serious,Minor,4/12/08 12:40,Zone E courtyard,GSL-Maribyrnong,
MB08-190,Abusive / Aggressive behaviour - by client,Minor,12/11/08 10:10,Medical Station,GSL-Maribyrnong,
MB08-188,Emergency medical attention - off site,Major,5/11/08 1:30,Zone E,GSL-Maribyrnong,
MB08-189,Abusive / Aggressive behaviour - by client,Minor,29/10/08 10:30,Zone B common room,GSL-Maribyrnong,
MB08-191,Systems Failure,Major,15/11/08 10:53,"Zones A,B D,Main Corridor ,Reception Car Parks Perimeter Grassed area",GSL-Maribyrnong,
MB08-192,Emergency medical attention - off site,Major,16/11/08 9:00,Zone A,GSL-Maribyrnong,
MB08-193,Removal - Aborted,Major,18/11/08 4:35,Melbourne Airport DIAC Office,GSL-Maribyrnong,
MB08-194,Use of instruments of restraint,Minor,20/11/08 1:26,Property Area,GSL-Maribyrnong,
MB08-195,Prohibited article - other - found,Minor,21/11/08 9:50,Medical Area,GSL-Maribyrnong,
MB08-185,Damage to facility - Less serious,Minor,28/10/08 11:30,Kitchen Driveway,GSL-Maribyrnong,
MB08-187,Media - Presence at facility,Major,31/10/08 2:32,Front entry driveway o MIDC,GSL-Maribyrnong,
MB08-182,Use of instruments of restraint,Minor,15/10/08 11:26,Whilst on Escort,GSL-Maribyrnong,
MB08-178,Use of instruments of restraint,Minor,13/10/08 4:00,Garage,GSL-Maribyrnong,
MB08-177,Notification to State / Territory authorities,Minor,12/10/08 3:45,Zone D Kitchen,GSL-Maribyrnong,
MB08-179,Removal - Aborted,Major,14/10/08 4:35,Melbourne Airport,GSL-Maribyrnong,
MB08-180,Use of force - By staff,Major,14/10/08 2:35,Zone E common room,GSL-Maribyrnong,
MB08-181,Damage to facility - Less serious,Minor,14/10/08 4:09,Zone E Court Yard,GSL-Maribyrnong,
MB08-175,Self Harm - Threatened,Major,4/10/08 5:30,Zone E,GSL-Maribyrnong,
MB08-176,Use of instruments of restraint,Minor,8/10/08 9:30,Garage,GSL-Maribyrnong,
MB08-170,Emergency medical attention - off site,Major,2/10/08 2:30,Medical Station,GSL-Maribyrnong,
MB08-171,Emergency medical attention - off site,Major,2/10/08 4:40,Medical Station,GSL-Maribyrnong,
MB08-172,Use of force - By staff,Major,3/10/08 12:55,Medical,GSL-Maribyrnong,
MB08-173,Prohibited article - other - brought in by visitor,Minor,3/10/08 1:20,MIDC Reception/Gate area,GSL-Maribyrnong,
MB08-174,Security keys unaccounted for or tampered with,Major,4/10/08 6:50,Key Safe,GSL-Maribyrnong,
MB08-164,Use of instruments of restraint,Minor,26/09/08 8:30,Property Area,GSL-Maribyrnong,
MB08-166,Use of instruments of restraint,Minor,26/09/08 5:00,Garage Area and again at Rm18 Emergency Department Western General Hospit,GSL-Maribyrnong,
MB08-162,Damage to facility - Less serious,Minor,22/09/08 3:00,Zone E games room,GSL-Maribyrnong,
MB08-167,Damage to facility - Less serious,Minor,28/09/08 11:56,Zone E Rec Room 1,GSL-Maribyrnong,
MB08-168,Assault - not occasioning bodily harm - Client on client,Minor,30/09/08 4:05,Zone A Dorm,GSL-Maribyrnong,
MB08-169,Self Harm - Threatened,Major,1/10/08 5:30,Zone E,GSL-Maribyrnong,
MB08-155,Use of instruments of restraint,Minor,11/09/08 8:42,MIDC Garage,GSL-Maribyrnong,
MB08-153,Voluntary starvation - Under 24 hours,Minor,10/09/08 12:50,Zone C,GSL-Maribyrnong,
MB08-154,Notification to State / Territory authorities,Minor,10/09/08 8:20,Room A4,GSL-Maribyrnong,
MB08-158,Abusive / Aggressive behaviour - by client,Minor,15/09/08 5:40,Visits Centre,GSL-Maribyrnong,
MB08-159,Notification to State / Territory authorities,Minor,16/09/08 1:20,Zone A Male Dormitory Recreation area.,GSL-Maribyrnong,
MB08-160,Public health risk - Less serious,Minor,16/09/08 11:15,Medical(Nurses Station),GSL-Maribyrnong,
MB08-161,Emergency medical attention - off site,Major,19/09/08 6:00,Zone B dayroom,GSL-Maribyrnong,
MB08-163,Notification to State / Territory authorities,Minor,24/09/08 3:48,Zone A room 4,GSL-Maribyrnong,
MB08-135,Damage to facility - Less serious,Minor,8/08/08 1:15,Garage,GSL-Maribyrnong,
MB08-136,Assault - not occasioning bodily harm - Client on client,Minor,10/08/08 10:20,Zone B day room,GSL-Maribyrnong,
MB08-130,Media - Presence at facility,Major,29/07/08 12:25,Driveway of MIDC,GSL-Maribyrnong,
MB08-137,"Prohibited article - Prohibited substance, suspected",Major,11/08/08 2:00,Zone B Room 3,GSL-Maribyrnong,
MB08-138,Abusive / Aggressive behaviour - by client,Minor,16/08/08 2:35,Zone E computer room of the MIDC,GSL-Maribyrnong,
MB08-139,Emergency medical attention - off site,Major,20/08/08 12:30,Zone D- Female Dormitory Recreation Area.,GSL-Maribyrnong,
