original-location,our-location,date,men,women,children
Sydney Immigration Residential Housing,,6/05/11,8,8,8
Perth Immigration Residential Housing,,6/05/11,6,9,1
Port Augusta Immigration Residential Housing,,6/05/11,16,13,15
Brisbane Immigration Transit Accommodation,,6/05/11,18,12,18
Melbourne Immigration Transit Accommodation,,6/05/11,8,,97
Adelaide Immigration Transit Accommodation,,6/05/11,,,
Community Detention 2 (Mainland),,6/05/11,173,138,251
Community Detention (Christmas Island),,6/05/11,,,
"Alternative Temporary Detention in the Community
3 (Mainland)",,6/05/11,602,348,452
"Alternative Temporary Detention in the Community
(Christmas Island)",,6/05/11,262,60,196
,,,,,
Villawood IDC,,15/04/11,361,31,
Northern IDC (Darwin),,15/04/11,497,,
Maribyrnong IDC,,15/04/11,87,5,
Perth IDC,,15/04/11,45,1,
Christmas Island IDC,,15/04/11,1167,,
Curtin IDC,,15/04/11,1402,,
Scherger IDC,,15/04/11,562,,
Sydney Immigration Residential Housing,,15/04/11,7,7,6
Perth Immigration Residential Housing,,15/04/11,5,8,1
Port Augusta Immigration Residential Housing,,15/04/11,19,14,17
Brisbane Immigration Transit Accommodation,,15/04/11,21,15,24
Melbourne Immigration Transit Accommodation,,15/04/11,9,,102
Adelaide Immigration Transit Accommodation,,15/04/11,1,,
Community Detention 2 (Mainland),,15/04/11,106,75,156
Community Detention (Christmas Island),,15/04/11,,,
"Alternative Temporary Detention in the Community
3 (Mainland)",,15/04/11,603,359,500
"Alternative Temporary Detention in the Community
(Christmas Island)",,15/04/11,302,114,242
,,,,,
Villawood IDC,,11/03/11,332,26,
Northern IDC (Darwin),,11/03/11,478,,
Maribyrnong IDC,,11/03/11,70,10,
Perth IDC,,11/03/11,48,1,
Christmas Island IDC,,11/03/11,1831,,
Curtin IDC,,11/03/11,1197,,
Scherger IDC,,11/03/11,299,,
Sydney Immigration Residential Housing,,11/03/11,14,9,10
Perth Immigration Residential Housing,,11/03/11,4,5,7
Port Augusta Immigration Residential Housing,,11/03/11,21,16,17
Brisbane Immigration Transit Accommodation,,11/03/11,18,9,15
Melbourne Immigration Transit Accommodation,,11/03/11,9,,125
Adelaide Immigration Transit Accommodation,,11/03/11,3,1,
Community Detention (Mainland),,11/03/11,84,57,87
Community Detention (Christmas Island),,11/03/11,,,
Alternative Temporary Detention in the Community (Mainland),,11/03/11,472,344,516
"Alternative Temporary Detention in the Community
(Christmas Island)",,11/03/11,291,140,253
,,,,,
Villawood IDC,,18/02/11,358,23,
Northern IDC (Darwin),,18/02/11,463,,
Maribyrnong IDC,,18/02/11,69,10,
Perth IDC,,18/02/11,53,1,
Christmas Island IDC,,18/02/11,1832,,
Curtin IDC,,18/02/11,1130,,
Scherger IDC,,18/02/11,311,,
Sydney Immigration Residential Housing,,18/02/11,10,7,7
Perth Immigration Residential Housing,,18/02/11,5,4,10
Port Augusta Immigration Residential Housing,,18/02/11,21,16,17
Brisbane Immigration Transit Accommodation,,18/02/11,12,12,19
Melbourne Immigration Transit Accommodation,,18/02/11,7,,115
Adelaide Immigration Transit Accommodation,,18/02/11,14,4,
Community Detention (Mainland),,18/02/11,33,23,50
Community Detention (Christmas Island),,18/02/11,,,
Alternative Temporary Detention in the Community (Mainland),,18/02/11,475,331,496
"Alternative Temporary Detention in the Community
(Christmas Island)",,18/02/11,326,155,326
,,,,,
Villawood IDC,,4/02/11,314,25,
Northern IDC (Darwin),,4/02/11,481,,
Maribyrnong IDC,,4/02/11,68,5,
Perth IDC,,4/02/11,49,,
Christmas Island IDC,,4/02/11,1829,,
Curtin IDC,,4/02/11,1153,,
Scherger IDC,,4/02/11,295,,
Sydney Immigration Residential Housing,,4/02/11,11,8,9
Perth Immigration Residential Housing,,4/02/11,4,3,9
Port Augusta Immigration Residential Housing,,4/02/11,22,17,18
Brisbane Immigration Transit Accommodation,,4/02/11,16,15,20
Melbourne Immigration Transit Accommodation,,4/02/11,10,,125
Community Detention 2 (Mainland),,4/02/11,20,11,37
Community Detention (Christmas Island),,4/02/11,,,
"Alternative Temporary Detention in the Community
3 (Mainland)",,4/02/11,484,348,508
"Alternative Temporary Detention in the Community
(Christmas Island)",,4/02/11,304,139,301
,,,,,
Villawood IDC,,14/01/11,300,23,
Northern IDC (Darwin),,14/01/11,447,,
Maribyrnong IDC,,14/01/11,72,12,
Perth IDC,,14/01/11,45,,
Christmas Island IDC,,14/01/11,1985,,
Curtin IDC,,14/01/11,1144,,
Scherger IDC,,14/01/11,279,,
Sydney Immigration Residential Housing,,14/01/11,13,8,13
Perth Immigration Residential Housing,,14/01/11,2,3,7
Port Augusta Immigration Residential Housing,,14/01/11,19,14,16
Brisbane Immigration Transit Accommodation,,14/01/11,18,13,20
Melbourne Immigration Transit Accommodation,,14/01/11,1,,129
Community Detention 2 (Mainland),,14/01/11,14,6,25
Community Detention (Christmas Island),,14/01/11,,,
"Alternative Temporary Detention in the Community
3 (Mainland)",,14/01/11,421,323,508
"Alternative Temporary Detention in the Community
(Christmas Island)",,14/01/11,329,174,347
,,,,,
Villawood IDC,,21/01/11,296,21,
Northern IDC (Darwin),,21/01/11,495,,
Maribyrnong IDC,,21/01/11,74,12,
Perth IDC,,21/01/11,49,1,
Christmas Island IDC,,21/01/11,1935,,
Curtin IDC,,21/01/11,1140,,
Scherger IDC,,21/01/11,308,,
Sydney Immigration Residential Housing,,21/01/11,13,8,13
Perth Immigration Residential Housing,,21/01/11,3,3,7
Port Augusta Immigration Residential Housing,,21/01/11,19,14,16
Brisbane Immigration Transit Accommodation,,21/01/11,13,14,20
Melbourne Immigration Transit Accommodation,,21/01/11,9,,119
Community Detention 2 (Mainland),,21/01/11,16,8,28
Community Detention (Christmas Island),,21/01/11,,,
"Alternative Temporary Detention in the Community
3 (Mainland)",,21/01/11,455,330,512
"Alternative Temporary Detention in the Community
(Christmas Island)",,21/01/11,320,174,330
,,,,,
Villawood IDC,,17/12/10,300,24,
Northern IDC (Darwin),,17/12/10,446,,
Maribyrnong IDC,,17/12/10,75,8,
Perth IDC,,17/12/10,44,,
Christmas Island IDC,,17/12/10,1976,,
Curtin IDC,,17/12/10,1014,,
Scherger IDC,,17/12/10,294,,
Sydney Immigration Residential Housing,,17/12/10,13,8,15
Perth Immigration Residential Housing,,17/12/10,2,5,10
Port Augusta Immigration Residential Housing,,17/12/10,19,19,19
Brisbane Immigration Transit Accommodation,,17/12/10,18,16,19
Melbourne Immigration Transit Accommodation,,17/12/10,1,,141
Community Detention 2 (Mainland),,17/12/10,12,5,14
Community Detention (Christmas Island),,17/12/10,,,
"Alternative Temporary Detention in the Community
3 (Mainland)",,17/12/10,359,246,439
"Alternative Temporary Detention in the Community
(Christmas Island)",,17/12/10,349,195,325
,,,,,
Villawood IDC,,3/12/10,290,18,
Northern IDC (Darwin),,3/12/10,394,,
Maribyrnong IDC,,3/12/10,84,8,
Perth IDC,,3/12/10,43,,
Christmas Island IDC,,3/12/10,2148,,
Curtin IDC,,3/12/10,883,,
Scherger IDC,,3/12/10,286,,
Sydney Immigration Residential Housing,,3/12/10,13,8,13
Perth Immigration Residential Housing,,3/12/10,1,3,7
Port Augusta Immigration Residential Housing,,3/12/10,19,17,17
Brisbane Immigration Transit Accommodation,,3/12/10,11,14,15
Melbourne Immigration Transit Accommodation,,3/12/10,1,,132
Community Detention 2 (Mainland),,3/12/10,10,2,15
Community Detention (Christmas Island),,3/12/10,,,
"Alternative Temporary Detention in the Community
3 (Mainland)",,3/12/10,357,223,416
"Alternative Temporary Detention in the Community
(Christmas Island)",,3/12/10,370,208,303
,,,,,
Villawood IDC,,19/11/10,286,22,
Northern IDC (Darwin),,19/11/10,475,,
Maribyrnong IDC,,19/11/10,82,9,
Perth IDC,,19/11/10,47,,
Christmas Island IDC,,19/11/10,2109,,
Curtin IDC,,19/11/10,819,,
Scherger IDC,,19/11/10,268,,
Sydney Immigration Residential Housing,,19/11/10,13,8,13
Perth Immigration Residential Housing,,19/11/10,2,4,8
Port Augusta Immigration Residential Housing,,19/11/10,19,17,17
Brisbane Immigration Transit Accommodation,,19/11/10,21,14,15
Melbourne Immigration Transit Accommodation,,19/11/10,3,,129
Community Detention 2 (Mainland),,19/11/10,8,1,6
Community Detention (Christmas Island),,19/11/10,,,
"Alternative Temporary Detention in the Community
3 (Mainland)",,19/11/10,255,213,395
"Alternative Temporary Detention in the Community
(Christmas Island)",,19/11/10,305,183,306
,,,,,
Villawood IDC,,5/11/10,293,19,
Northern IDC (Darwin),,5/11/10,490,,
Maribyrnong IDC,,5/11/10,62,10,
Perth IDC,,5/11/10,42,,
Christmas Island IDC,,5/11/10,2033,,
Curtin IDC,,5/11/10,747,,
Scherger IDC,,5/11/10,291,,
Sydney Immigration Residential Housing,,5/11/10,13,9,13
Perth Immigration Residential Housing,,5/11/10,2,3,6
Port Augusta Immigration Residential Housing,,5/11/10,19,17,23
Brisbane Immigration Transit Accommodation,,5/11/10,19,14,15
Melbourne Immigration Transit Accommodation,,5/11/10,1,,39
Community Detention 2 (Mainland),,5/11/10,10,1,6
Community Detention (Christmas Island),,5/11/10,,,
"Alternative Temporary Detention in the Community
3 (Mainland)",,5/11/10,221,189,365
"Alternative Temporary Detention in the Community
(Christmas Island)",,5/11/10,341,152,369
,,,,,
Villawood IDC,,29/10/10,302,24,
Northern IDC (Darwin),,29/10/10,474,,
Maribyrnong IDC,,29/10/10,58,13,
Perth IDC,,29/10/10,51,,
Christmas Island IDC,,29/10/10,1963,,
Curtin IDC,,29/10/10,747,,
Scherger IDC,,29/10/10,292,,
Sydney Immigration Residential Housing,,29/10/10,14,9,14
Perth Immigration Residential Housing,,29/10/10,3,3,6
Port Augusta Immigration Residential Housing,,29/10/10,19,17,23
Brisbane Immigration Transit Accommodation,,29/10/10,21,14,17
Melbourne Immigration Transit Accommodation,,29/10/10,1,,41
Community Detention 2 (Mainland),,29/10/10,10,1,6
Community Detention (Christmas Island),,29/10/10,,,
"Alternative Temporary Detention in the Community
3 (Mainland)",,29/10/10,189,162,349
"Alternative Temporary Detention in the Community
(Christmas Island)",,29/10/10,293,148,341
,,,,,
Villawood IDC,,22/10/10,313,22,
Northern IDC (Darwin),,22/10/10,478,,
Maribyrnong IDC,,22/10/10,55,12,
Perth IDC,,22/10/10,48,,
Christmas Island IDC,,22/10/10,2027,,
Curtin IDC,,22/10/10,747,,
Scherger IDC,,22/10/10,79,,
Sydney Immigration Residential Housing,,22/10/10,14,9,15
Perth Immigration Residential Housing,,22/10/10,4,4,9
Port Augusta Immigration Residential Housing,,22/10/10,18,16,23
Brisbane Immigration Transit Accommodation,,22/10/10,20,15,18
Melbourne Immigration Transit Accommodation,,22/10/10,1,,42
Community Detention 2 (Mainland),,22/10/10,11,2,11
Community Detention (Christmas Island),,22/10/10,,,
"Alternative Temporary Detention in the Community
3 (Mainland)",,22/10/10,185,166,357
"Alternative Temporary Detention in the Community
(Christmas Island)",,22/10/10,307,128,297
,,,,,
Villawood IDC,,15/10/10,300,23,
Northern IDC (Darwin),,15/10/10,469,,
Maribyrnong IDC,,15/10/10,58,12,
Perth IDC,,15/10/10,48,,
Christmas Island IDC,,15/10/10,2073,,
Curtin IDC,,15/10/10,749,,
Sydney Immigration Residential Housing,,15/10/10,14,8,14
Perth Immigration Residential Housing,,15/10/10,4,4,9
Port Augusta Immigration Residential Housing,,15/10/10,18,16,24
Brisbane Immigration Transit Accommodation,,15/10/10,18,11,16
Melbourne Immigration Transit Accommodation,,15/10/10,1,,42
Community Detention 2 (Mainland),,15/10/10,11,2,10
Community Detention (Christmas Island),,15/10/10,,,
"Alternative Temporary Detention in the Community
3 (Mainland)",,15/10/10,186,169,354
"Alternative Temporary Detention in the Community
(Christmas Island)",,15/10/10,299,114,283
,,,,,
Villawood IDC,,8/10/10,292,24,
Northern IDC (Darwin),,8/10/10,366,,
Maribyrnong IDC,,8/10/10,59,14,
Perth IDC,,8/10/10,49,,
Christmas Island IDC,,8/10/10,1994,,
Curtin IDC,,8/10/10,751,,
Sydney Immigration Residential Housing,,8/10/10,15,8,16
Perth Immigration Residential Housing,,8/10/10,4,4,10
Port Augusta Immigration Residential Housing,,8/10/10,18,18,25
Brisbane Immigration Transit Accommodation,,8/10/10,20,13,19
Melbourne Immigration Transit Accommodation,,8/10/10,1,,42
Community Detention 2 (Mainland),,8/10/10,11,2,10
Community Detention (Christmas Island),,8/10/10,,,
"Alternative Temporary Detention in the Community
3 (Mainland)",,8/10/10,175,164,350
"Alternative Temporary Detention in the Community
(Christmas Island)",,8/10/10,320,87,229
,,,,,
Villawood IDC,,30/09/10,287,22,
Northern IDC (Darwin),,30/09/10,367,,
Maribyrnong IDC,,30/09/10,78,18,
Perth IDC,,30/09/10,42,1,
Christmas Island IDC,,30/09/10,1925,,
Curtin IDC,,30/09/10,752,,
Sydney Immigration Residential Housing,,30/09/10,15,8,16
Perth Immigration Residential Housing,,30/09/10,4,4,8
Port Augusta Immigration Residential Housing,,30/09/10,18,18,25
Brisbane Immigration Transit Accommodation,,30/09/10,13,13,18
Melbourne Immigration Transit Accommodation,,30/09/10,1,,44
Community Detention 2 (Mainland),,30/09/10,12,3,12
Community Detention (Christmas Island),,30/09/10,,,
"Alternative Temporary Detention in the Community
3 (Mainland)",,30/09/10,191,164,353
"Alternative Temporary Detention in the Community
(Christmas Island)",,30/09/10,290,68,201
,,,,,
Villawood IDC,,10/09/10,278,24,
Northern IDC (Darwin),,10/09/10,458,,
Maribyrnong IDC,,10/09/10,58,8,
Perth IDC,,10/09/10,43,1,
Christmas Island IDC,,10/09/10,1893,,
Curtin IDC,,10/09/10,681,,
Sydney Immigration Residential Housing,,10/09/10,13,7,10
Perth Immigration Residential Housing,,10/09/10,4,3,8
Port Augusta Immigration Residential Housing,,10/09/10,16,14,27
Brisbane Immigration Transit Accommodation,,10/09/10,21,12,19
Melbourne Immigration Transit Accommodation,,10/09/10,,,43
Community Detention 2 (Mainland),,10/09/10,12,3,10
Community Detention (Christmas Island),,10/09/10,,,
"Alternative Temporary Detention in the Community
3 (Mainland)",,10/09/10,162,141,342
"Alternative Temporary Detention in the Community
(Christmas Island)",,10/09/10,301,80,196
,,,,,
Villawood IDC,,27/08/10,267,25,
Northern IDC (Darwin),,27/08/10,486,,
Maribyrnong IDC,,27/08/10,49,6,
Perth IDC,,27/08/10,53,4,
Christmas Island IDC,,27/08/10,1854,,
Curtin IDC,,27/08/10,600,,
Sydney Immigration Residential Housing,,27/08/10,12,7,10
Perth Immigration Residential Housing,,27/08/10,4,4,9
Port Augusta Immigration Residential Housing,,27/08/10,4,5,32
Brisbane Immigration Transit Accommodation,,27/08/10,21,14,20
Melbourne Immigration Transit Accommodation,,27/08/10,,,40
Community Detention 2 (Mainland),,27/08/10,12,3,10
Community Detention (Christmas Island),,27/08/10,,,
"Alternative Temporary Detention in the Community
3 (Mainland)",,27/08/10,139,138,317
"Alternative Temporary Detention in the Community
(Christmas Island)",,27/08/10,276,59,190
,,,,,
Villawood IDC,,13/08/10,255,17,
Northern IDC (Darwin),,13/08/10,486,,
Maribyrnong IDC,,13/08/10,40,8,
Perth IDC,,13/08/10,50,4,
Christmas Island IDC,,13/08/10,1861,,
Curtin IDC,,13/08/10,552,,
Sydney Immigration Residential Housing,,13/08/10,12,8,10
Perth Immigration Residential Housing,,13/08/10,2,2,6
Port Augusta Immigration Residential Housing,,13/08/10,,,49
Brisbane Immigration Transit Accommodation,,13/08/10,20,11,17
Melbourne Immigration Transit Accommodation,,13/08/10,1,,37
Community Detention 2 (Mainland),,13/08/10,12,3,10
Community Detention (Christmas Island),,13/08/10,,,
"Alternative Temporary Detention in the Community
3 (Mainland)",,13/08/10,138,135,326
"Alternative Temporary Detention in the Community
(Christmas Island)",,13/08/10,284,68,195
,,,,,
Villawood IDC,,30/07/10,259,12,
Northern IDC (Darwin),,30/07/10,498,,
Maribyrnong IDC,,30/07/10,53,9,
Perth IDC,,30/07/10,48,2,
Christmas Island IDC,,30/07/10,1913,,
Curtin IDC,,30/07/10,459,,
Sydney Immigration Residential Housing,,30/07/10,10,7,9
Perth Immigration Residential Housing,,30/07/10,3,3,9
Port Augusta Immigration Residential Housing,,30/07/10,,,51
Brisbane Immigration Transit Accommodation,,30/07/10,20,11,18
Melbourne Immigration Transit Accommodation,,30/07/10,1,,40
Community Detention 2 (Mainland),,30/07/10,12,3,10
Community Detention (Christmas Island),,30/07/10,,,
"Alternative Temporary Detention in the Community
3 (Mainland)",,30/07/10,137,134,320
"Alternative Temporary Detention in the Community
(Christmas Island)",,30/07/10,299,73,217
,,,,,
Villawood IDC,,25/06/10,218,16,
Northern IDC (Darwin),,25/06/10,459,,
Maribyrnong IDC,,25/06/10,49,13,
Perth IDC,,25/06/10,42,,
Christmas Island IDC,,25/06/10,1824,,
Curtin IDC,,25/06/10,306,,
Sydney Immigration Residential Housing,,25/06/10,17,8,11
Perth Immigration Residential Housing,,25/06/10,3,3,8
Port Augusta Immigration Residential Housing,,25/06/10,,,56
Brisbane Immigration Transit Accommodation,,25/06/10,9,12,18
Melbourne Immigration Transit Accommodation,,25/06/10,3,,38
Community Detention 2 (Mainland),,25/06/10,12,2,8
Community Detention (Christmas Island),,25/06/10,,,
"Alternative Temporary Detention in the Community
3 (Mainland)",,25/06/10,98,96,157
"Alternative Temporary Detention in the Community
(Christmas Island)",,25/06/10,296,64,270
,,,,,
Villawood IDC,,18/06/10,220,13,
Northern IDC (Darwin),,18/06/10,502,27,
Maribyrnong IDC,,18/06/10,50,12,
Perth IDC,,18/06/10,50,3,
Christmas Island IDC,,18/06/10,1921,1,
Curtin IDC,,18/06/10,189,,
Sydney Immigration Residential Housing,,18/06/10,18,8,11
Perth Immigration Residential Housing,,18/06/10,2,3,11
Port Augusta Immigration Residential Housing,,18/06/10,,,56
Brisbane Immigration Transit Accommodation,,18/06/10,11,13,20
Melbourne Immigration Transit Accommodation,,18/06/10,3,,38
Community Detention 2 (Mainland),,18/06/10,11,2,8
Community Detention (Christmas Island),,18/06/10,,,
"Alternative Temporary Detention in the Community
3 (Mainland)",,18/06/10,51,58,158
"Alternative Temporary Detention in the Community
(Christmas Island)",,18/06/10,275,65,259
,,,,,
Villawood IDC,,4/06/10,237,18,
Northern IDC (Darwin),,4/06/10,517,28,
Maribyrnong IDC,,4/06/10,55,17,
Perth IDC,,4/06/10,48,4,
Christmas Island IDC,,4/06/10,1870,,
Sydney Immigration Residential Housing,,4/06/10,16,5,7
Perth Immigration Residential Housing,,4/06/10,2,3,12
Port Augusta Immigration Residential Housing,,4/06/10,,,59
Brisbane Immigration Transit Accommodation,,4/06/10,12,13,20
Melbourne Immigration Transit Accommodation,,4/06/10,3,,38
Community Detention 2 (Mainland),,4/06/10,11,2,8
Community Detention (Christmas Island),,4/06/10,1,1,1
"Alternative Temporary Detention in the Community
3 (Mainland)",,4/06/10,39,34,113
"Alternative Temporary Detention in the Community
(Christmas Island)",,4/06/10,249,65,240
,,,,,
Villawood IDC,,28/05/10,246,20,
Northern IDC (Darwin),,28/05/10,493,19,
Maribyrnong IDC,,28/05/10,50,17,
Perth IDC,,28/05/10,36,1,
Christmas Island IDC,,28/05/10,1833,,
Sydney Immigration Residential Housing,,28/05/10,15,4,6
Perth Immigration Residential Housing,,28/05/10,2,4,12
Port Augusta Immigration Residential Housing,,28/05/10,,,59
Brisbane Immigration Transit Accommodation,,28/05/10,16,15,28
Melbourne Immigration Transit Accommodation,,28/05/10,3,,36
Community Detention 2 (Mainland),,28/05/10,11,2,8
Community Detention (Christmas Island),,28/05/10,1,1,1
"Alternative Temporary Detention in the Community
3 (Mainland)",,28/05/10,77,35,100
"Alternative Temporary Detention in the Community
(Christmas Island)",,28/05/10,258,75,248
,,,,,
Villawood IDC,,21/05/10,245,20,
Northern IDC (Darwin),,21/05/10,472,,
Maribyrnong IDC,,21/05/10,60,16,
Perth IDC,,21/05/10,44,2,
Christmas Island IDC,,21/05/10,1771,,
