id,type,severity,date,facility,description,location
1-5SFKL9,Disturbance - Major,Major,23/01/11,North West Point Immigration Facility,s. 47F(1) throwing bins around at medical cventre. Situational use of force applied to diffuse a potential serious situation.,NWP Medical centre,
1-5SFC9H,Assault - Minor,Major,23/01/11,North West Point Immigration Facility,Client s. 47F(1) alleges that he was assaulted by client s. 47F(1) on NWP Greenheart,NWP Greenheart,
1-5SFB0C,Transfer to APOD,Minor,23/01/11,Scherger IDC,Client s. 47F(1) transferred to Cairns Hospital.,"Weipa Hospital, Weipa, Queensland",
1-5SF0JU,Accident/Injury - Serious,Critical,23/01/11,Northern IDC,Client admitted to Royal Darwin Hospital.,NIDC.,
1-5SF7KY,Visitor-Other refused,Minor,23/01/11,Northern IDC,Member of public approached static post at RDH requesting to visit client.,"NIDC, Royal Darwin Hospital",
1-5SUZA5,Accident/Injury - Serious,Critical,23/01/11,North West Point Immigration Facility,Client s. 47F(1) was transported to CI Hospital for further treatment.,White 1,
1-5SFK0O,Assault - Minor,Major,23/01/11,North West Point Immigration Facility,Client s. 47F(1) was allegedly assaulted by an as yet unknown client.,Blue 2 Compound,
1-5SSHAC ,Complaint - re Minor Incident,Minor,23/01/11,North West Point Immigration Facility,Client complaint s. 47F(1) will not be resolved within timeframe.,Blue 1 Compound,
1-5SFX9M  ,Abusive/Aggressive Behaviour,Minor,23/01/11,North West Point Immigration Facility,Client s. 47F(1) became abusive and aggressive in the White 1 lunch line,White 1 Compound,
1-5SSH75,Complaint - re Minor Incident,Minor,23/01/11,North West Point Immigration Facility,Client complaint s. 47F(1) received from Client s. 47F(1) has been sent for translation and will not be resolved within timeframe.,White 1 Compound,
1-5SF7EB,Accident/Injury - Serious,Critical,23/01/11,Curtin IDC,Code Blue Delta compound. Client s. 47F(1) had a fit whilst playing cards in a friends room.,Delta Compound Room 58,
1-5SEVDD ,Accident/Injury - Serious,Critical,23/01/11,Scherger IDC,Serco Sodexo staff member slipped off the catwalk  landing.,"Administration building, Scherger Immigration Detention Centre.",
1-5SE5GE  ,Voluntary starvation (>24 hrs),Major,23/01/11,Scherger IDC,Client s. 47F(1) placed on Over 24hours Voluntary Hunger Starvation.,"Observation Unit, Administration block, Scherger Immigration Detention Centre",
1-5SERUK ,Accident/Injury - Serious,Critical,23/01/11,Gwalia Lodge,Client s. 47F(1) having adverse reaction to medication. Escorted to Leonora Hospital.,Leonore APOD - Room 67,
1-5SF7F4,Self Harm - Actual,Critical,23/01/11,Curtin IDC,Client s. 47F(1) self harmed using a razor blade to cut his chest.,Foxtrot Room 121,
1-5SE66C,Contraband found,Minor,23/01/11,Villawood IDC,Prohibited item found Dorm 1 - Blaxland - Vodka bottle,Dorm 1 - Blaxland,
1-5SF765,Self Harm - Actual,Critical,23/01/11,Melbourne ITA,At approximately 04.20  client s. 47F(1) ame and called for help from CSW Yasotha and informed that he has done self harm to his hand.First aid applied and seen small cuts.Triage Nurse has been informed. Client placed in Annex .,MITA 2 Rec room,
1-5S7I8K,Accident/Injury - Serious,Critical,23/01/11,Villawood IDC,Client s. 47F(1) taken to Aurburn Hospital by Transport and Escort due to chest pains and vomiting and toothache. Triage was contact and advised to take client to Hospital.,Fowler compound.,
1-5S6TSC,Accident/Injury - Serious,Critical,23/01/11,Villawood IDC,Client s. 47F(1) was taken to Auburn Hospital Via ambulance after complaining of chest pain.,Fowler,
1-5S6WYP,Self Harm - Threatened,Major,22/01/11,Villawood IDC,Client s. 47F(1) attempted self harm by banging his head on the table.,Murray Unit,
1-5S6WJB,Use of Force,Major,22/01/11,Villawood IDC,Client s. 47F(1) became aggressive and non compliant. Minimum force had to be applied to control the client.,Murray Unit Villawood IDC,
1-5S6TSO,Disturbance - Minor,Minor,22/01/11,Villawood IDC,An minor altercation broke out in Fowler compound between clients accommodated in Macquarie Unit.,Fowler Macquarie Unit.,
1-5S6WJJ,Use of Force,Major,22/01/11,Villawood IDC,Client s. 47F(1) became aggressive and non compliant. Minimum force had to be applied to control the client.,Murray VIDC,
1-5S6WHG,Self Harm - Threatened,Major,22/01/11,Villawood IDC,Client s. 47F(1) attempted self harm by hitting his head on the wall in the upstairs Murray unit.,Murray Unit upstairs.,
1-5SNZRA  ,Assault - Minor,Minor,22/01/11,Christmas Island,This incident has been created to upgrade incident 1-5SE5GY which was incorrectly classified as a minor disturbance,Construction Camp K block kitchen area,
1-5SE5GY  ,Disturbance - Minor,Minor,22/01/11,Christmas Island,"This is written by AOM Welk for ACSM Nightshift Tony De Mello. Portal was down last night. DIAC on call Manager Ben Stoneley Christmas Island APOD, Phosphate and Serco on call Manager Paul Atkins both advised by 2115 hours of incident. Details to follow.",Construction Camp K block.,
1-5S6TU7,Accident/Injury - Serious,Critical,22/01/11,Northern IDC,Client s. 47F(1) was taken to RDH complaining of abdominal pains.,The Lodge,
1-5SE573,Voluntary starvation (<24 hrs),Minor,22/01/11,North West Point Immigration Facility,Client s. 47F(1) has failed to collect 3 consecutive meals and has not be sighted eating.,Gold 2 Compound Room C2,
1-5S5TFU,Accident/Injury - Serious,Critical,22/01/11,Inverbrackie1 APOD,Client s. 47F(1) from Iran Colapsed in her husbands arms  Semi conscious,Lucknow house 116,
1-5S5T4N,Assault - Not OBH,Minor,22/01/11,Northern IDC,Mother sighted by officer and Interpreter hitting her 2 year old daughter,Darwin Airport Lode room 71,
1-5S5API,Damage - Minor,Minor,22/01/11,Villawood IDC,Three sections in Blaxland Basketball area damaged possible tampering,Blaxland Basketball area,
1-5S45BZ,Voluntary  Starvation - End of,Minor,22/01/11,Northern IDC,Client has been sighted eating 3 consecutive meals.,North 1,
1-5SMJXW ,Complaint - re Minor Incident,Minor,22/01/11,Northern IDC,Sealed envelope recieved addressed to third party.,NIDC,
1-5S5AK6,Complaint - re Minor Incident,Minor,22/01/11,North West Point Immigration Facility,Complaint NWP s. 47F(1) dated 18th January in relation to medical treatment and request to swim. Client s. 47F(1) complaints cannot be addressed until the authority on the matter DR L.Yoong returns February 1st.,NWP MEDICAL CENTRE,
1-5S4TOW ,Use of Force,Major,22/01/11,Scherger IDC,Minimize force used to move client s. 47F(1) to Observation room.,"AdministrationImmigration Detentionblock, SchergerCentre.",
1-5S4TKV,Self Harm - Actual,Critical,22/01/11,Scherger IDC,Client s. 47F(1) actual self harm.,"Administration block, Scherger Immigration Detention Centre",
1-5S59NE,Media - Unauthorised presence,Critical,22/01/11,Inverbrackie APOD,Journalist on site from Sunday Mail Paper DIAC Notified by Centre Manager Keith Wheeldon,Inverbrackie APOD Balaklava entrance,
1-5S49V0,Disturbance - Minor,Minor,22/01/11,Scherger IDC,Client s. 47F(1) refused to return to main compound.,"Administration Block, Scherger Immigration Detention Centre",
1-5S49E5,Accident/Injury - Serious,Critical,22/01/11,Curtin IDC,Client s. 47F(1) taken to on site medical for treatment after exercise.,Bravo compound,
1-5RVQSD ,Self Harm - Threatened,Major,22/01/11,North West Point Immigration Facility,Client s. 47F(1) self harm - attempted by using a bed sheet for a noose to tie around clients neck.,"C-Block, Blue 2 Compound, North West Point Immigration Detention Facility, Christmas Island.",
1-5S4TO4,Birth of a child,Minor,22/01/11,Northern IDC,Client s. 47F(1) gave birth to a baby girl at RDH.,Asti Hotel (APOD)/Royal Darwn Hospital,
1-5RWNMU,Damage - Minor,Minor,22/01/11,Villawood IDC,Commercial Toaster caused power outage in Stage 3 (Fowler) Mess and Fowler Office.,Stage 3 Fowler.,
1-5S3SO2,Transfer to APOD,Minor,21/01/11,Scherger IDC,Client s. 47F(1) was transferred to alternative place of detention.,"Medical, Scherger Immigration Detention Centre.",
1-5RU3M2  ,Damage - Minor,Minor,21/01/11,Villawood IDC,Windows broken in Hastings building room 5a,HUGHES Compound,
1-5S3SI3,Accident/Injury - Serious,Critical,21/01/11,Scherger IDC,Client s. 47F(1) escorted off site for Emergency medical care.,"Bravo Accommodation block, Scherger Immigration Detention Centre.",
1-5SEROS ,Notification by Welfare Auth,Major,21/01/11,Port Augusta IRH,child located from sink full of water unsupervised by parents,Port Augusta IRH recreational room,
1-5RVQEG ,Complaint - re Minor Incident,Minor,21/01/11,Gwalia Lodge,Minor client s. 47F(1) found in the Playroom after hours.,Leonora APOD - Playroom,
1-5RSW4L ,Self Harm - Threatened,Major,21/01/11,Northern IDC,Client has stated to climb on the roof and jump off carrying her baby,Darwin Airport Lodge room 71,
1-5RQ1ZK  ,Birth of a child,Minor,21/01/11,Inverbrackie APOD,Client s. 47F(1) gave birth today at 0340pm by Caesarean section to a healthy baby boy,Adelaide Women and Children Hospital,
1-5RN3WA ,Complaint - re Minor Incident,Minor,21/01/11,Northern IDC,Two sealed envelopes recieved addresed to Australian Human Rights Commision and Red Cross.,NIDC,
1-5RNODD ,Use of Force,Major,21/01/11,North West Point Immigration Facility,Client s. 47F(1) received a negative IMR. CLient became agitated and upset. Client launched himself towards DIAC staff. Serco staff in attendance used force to retrai te client from harming himself and staff,Visits Interview room,
1-5RNO5L  ,Self Harm - Threatened,Major,21/01/11,North West Point Immigration Facility,This is a MAJOR Incident.  Client s. 47F(1) after receiving a Negative IMR threatened Self Harm,Visits Interview Room,
1-5RJIPU,Accident/Injury - Serious,Critical,21/01/11,Villawood IDC,created in error,created in error,
1-5RLPNM ,Damage - Minor,Minor,21/01/11,North West Point Immigration Facility,unknown clients attempted to break through the Blue 1 compound roller door and done damage to the door. As a result of this incident the roller door can not be secured correctly. refer to IR number 1-5RKTR6,Blue 1 compound,
1-5RLPHP  ,Assault - Not OBH,Minor,21/01/11,North West Point Immigration Facility,unknown client punched an officer twice in the ribs and also kicked the officer in the legs twice refer to IR 1-5RKTR6,Blue 1 compound,
1-5RKTR6,Disturbance - Major,Major,21/01/11,North West Point Immigration Facility,Large group of unknown clients attempting to assault 2 clients that were getting removed from the compound,Blue 1 compound,
1-5RDYDU ,Accident/Injury - Serious,Critical,20/01/11,Port Augusta IRH,"Client s. 47F(1) came to the office complaining of stomach pains, called TRIAGE advised to give him 2 panadol and to drink fluids. Client appeared to be in a considerable amount of pain so he was taken to the Port Augusta Hospital.",PAIRH OFFICE,
1-5RSW5P ,Accident/Injury - Serious,Critical,20/01/11,North West Point Immigration Facility,Client s. 47F(1) slipped and fell over in the dining room of Aqua compound.,"Aqua compound, LA IDC, Christmas Island",
1-5REGPW,Self Harm - Actual,Critical,20/01/11,Perth IDC,Client attempted self harm.  He has a few superficial cuts on his left wrist and the right side of his head. Client has been transported to RPH Emergency for treatment.,"Dorm 1 Alpha, PIDC",
1-5RLPUQ ,Accident/Injury - Serious,Critical,20/01/11,Inverbrackie APOD,Client s. 47F(1) off site by SA Ambulance to Mt Barker Hospital to maternity ward,House 62 Please note DIAC notified by ACSM Narelle MARIC - CSM NM not on the Portal as yet,
1-5RDMQW,Accident/Injury - Serious,Critical,20/01/11,Port Augusta IRH,PAIRH Office,"At 1745 hours s. 47F(1) came up to the office with her family and complained of chest pains. An ambulance was called at 1745 hours ,Justine Pederson from DIAC was notified at 1755 hours Team Leader was notified at 1756. The ambulance arrived at 1804 hours and left for Port Augusta Hospital at 1812 hours",
1-5RD9OB ,Self Harm - Threatened,Major,20/01/11,Inverbrackie APOD,Client threatend self harm to IHMS when she was advised that her husband was going to hospital.,House 76,
1-5RD9KK  ,Voluntary starvation (<24 hrs),Minor,20/01/11,Inverbrackie APOD,Client has had not eaten 3 consequetive meals. Client has taken a limited amount of water.Client has not claimed he is on voluntary starvation but claims he does not feel like eating.,House 76,
1-5RE48K,Use of Force,Major,20/01/11,Curtin IDC,Use of force applied to client s. 47F(1),TV Room,
1-5RC9CO ,Media - Unauthorised presence,Critical,20/01/11,Melbourne ITA ,Journalist attended site at MITA as a social visitor with a regular religious visitor s. 47F(1),Melbourne Immigration Transit Accommodation,
1-5RATCV  ,Use of Restraints,Minor,20/01/11,Villawood IDC,Client s. 47F(1) was  advised that due his risk assessment he will be handcuffed during the escort .  At approximately 12:25 hrs Handcuff were applied by A/OM M.ZOHBI .,Hughes Midical,
1-5RAGG1 ,Accident/Injury - Serious,Critical,20/01/11,Villawood IDC,"On Thursday 20.1.11, client s. 47F(1) complained of chest pains to the officer in the Annex compound at approximately 12 00hrs.",Annex/HUGHES Medical,
1-5RC937,Accident/Injury - Serious,Critical,20/01/11,Gwalia Lodge,Sewing needle through clients index finger,Sewing Room,
1-5RBZQK ,Self Harm - Threatened,Major,20/01/11,North West Point Immigration Facility,Client s. 47F(1) attempted self harm with a razor blade,"Aqua compound, LA IDC, Christmas Island",
1-5RAG4M ,Damage - Minor,Minor,20/01/11,Brisbane ITA,Officer was parking a Serco vehicle and she has hit a pole.,Centro Taigum car park,
1-5R64OS,Accident/Injury - Serious,Critical,20/01/11,Curtin IDC,Client has asthma attack.,Curtin IDC Frangipani F119,
1-5R4FIV,Accident/Injury - Serious,Critical,20/01/11,Northern IDC,"Client fell out his bunk and hurt his toe , taken to RDH , has now been treated and on his way back..",North 1 NIDC,
1-5R4FOW ,Accident/Injury - Serious,Critical,20/01/11,Curtin IDC,Client presented to Medical with chest pains,Curtin IDC Medical Unit,
1-5R8OXC ,Removal - Aborted,Major,19/01/11,Perth IDC,Airline (QANTAS) refused to board passenger due to behavioural issues.,Perth International Airport.,
1-5R4FGK  ,Self Harm - Actual,Critical,19/01/11,Curtin IDC,Client Self Harm with Razor.,"Curtin IDC, Dreamtime Compound Room D88.",
1-5QWX7Q,Use of Force,Major,19/01/11,Perth IDC,Force was used to remove client from Accomodation area 1 to be discharged for a supervised departure,PIDC accomodation area 1,
1-5QW0RZ ,Disturbance - Minor,Minor,19/01/11,North West Point Immigration Facility,Verbal disagreement between unknown clients,BLUE 1-NWP,
1-5QV0NE  ,Accident/Injury - Serious,Critical,19/01/11,Port Augusta IRH,s. 47F(1) entered the New LifeTent and ignored the signs and started using the gym equipment .She squashed her little finger on her left hand and had to go to hospital to get it stitched,PAIRH New Life tent,
1-5QV0RR ,Complaint - re Minor Incident,Minor,19/01/11,Northern IDC,Client Complaint not resolved within timeframe.,NIDC DAL,
1-5QV0Q7 ,Voluntary starvation (>24 hrs),Major,19/01/11,Northern IDC,Client s. 47F(1) advises officer that he is not eating as a sign of support for Queensland flood victims.,NIDC North 1 compound.,
1-5QVA9I,Voluntary  Starvation - End of,Minor,19/01/11,North West Point Immigration Facility,Client s. 47F(1) has been seen to eat 3 meals.,Aqua compound,
1-5QVA7C  ,Complaint - re Minor Incident,Minor,19/01/11,North West Point Immigration Facility,Complain s. 47F(1) has not been resolved within 3 days.,Aqua/Lilac.,
1-5QV0LQ  ,Voluntary starvation (>24 hrs),Major,19/01/11,Northern IDC,Client s. 47F(1) advises medical staff at RDH that he has not eated.,NIDC North 1 compound,
1-5QVA6Q ,Complaint - re Minor Incident,Minor,19/01/11,North West Point Immigration Facility,Complaint s.47F(1) as not been resolved within 3 days.,Aqua/Lilac,
1-5R64UR,Contraband found,Minor,19/01/11,Maribyrnong IDC,"During routine room search of room 58, zone E, a torn up bed sheet made into a rope was found.","Item was located on top of cupboard in Room 58, Zone E",
1-5QW0GK,Self Harm - Actual,Critical,19/01/11,Curtin IDC,client s. 47F(1) did self harm at the protest scene,soccer field,
1-5QVAAM ,Self Harm - Actual,Critical,19/01/11,Curtin IDC,client s. 47F(1) did self harm at the protest scene,soccer field,
1-5QRBTE ,Voluntary starvation (>24 hrs),Major,19/01/11,Northern IDC,Client s. 47F(1) has stated he is on a hunger strike due to the delay in his case. Related IR 1-5QL5RR.,NIDC North 1 compound,
1-5QSE0G ,Accident/Injury - Serious,Critical,19/01/11,Inverbrackie APOD,IHMS to transport Clients. 47F(1) Client taken to RAH. DIAC notified by CM K. Wheeldon. Times are in WA time.,IHMS Inverbrackie APOD,
1-5R832U,Transfer to APOD,Minor,19/01/11,Scherger IDC,Client s. 47F(1) placed in alternative place of detention.,"Property, Scherger Immigration Detention Centre.",
1-5QTMKW,Self Harm - Actual,Critical,19/01/11,Inverbrackie APOD,Client s. 47F(1) Took an overdose of prescription medication.Refer to IR no. 1-5QSE0G. DIAC notified by CM K. Wheeldon,House 124,
1-5QTMTV ,Voluntary  Starvation - End of,Minor,19/01/11,North West Point Immigration Facility,Client s. 47F(1) as been sighted eating three consecutive meals.,White 2 compound,
1-5QQELG ,Contraband found,Minor,19/01/11,Villawood IDC,officers found 30 Panadine tablets and a clear plastic packet containing 6 Brufen tablets inside.,room 6a in Gwydir building Hughes Compound,
1-5R8S3S,Birth of a child,Minor,19/01/11,Brisbane ITA,Child born at Royal Womens Hospital. Baby girl named s. 47F(1),Royal Womens Hospital,
1-5QRCJI,Self Harm - Threatened,Major,19/01/11,North West Point Immigration Facility,Client s. 47F(1) threatened self harm - by way of slashing with a razor blade. This is a MAJOR Incident,Visits-NWP,
1-5RAG9V  ,Accident/Injury - Serious,Critical,19/01/11,North West Point Immigration Facility,Client s. 47F(1) slipped and fell to the ground,Medical,
1-5QMWDP,Complaint - re Minor Incident,Minor,19/01/11,Northern IDC,Sealed complaint enveloped received addressed to third party.,Northern IDC,
1-5QM3UI,Accident/Injury - Serious,Critical,19/01/11,Inverbrackie APOD,Client taken to WCH for pending birth of child,House 62,
1-5QM3L2,Self Harm - Actual,Critical,19/01/11,Curtin IDC,client found on ground in room E145 medical response 1 code blue raised.,Echo compound room 145,
1-5QMH6I,Transfer to APOD,Minor,19/01/11,Northern IDC,Client Transfered and admitted to Royal Darwin Hospital.,Botanical Gardens Apartments...NIDC,
1-5QL5RR  ,Voluntary starvation (<24 hrs),Minor,18/01/11,Northern IDC,Client s. 47F(1) recorded as missing three meals on 18 January.,NIDC North 1 compound,
1-5QL5NV,Voluntary starvation (<24 hrs),Minor,18/01/11,Northern IDC,Client s. 47F(1) recorded as missing three meals.,NIDC North 1 compound,
1-5QQE3G ,Disturbance - Major,Major,18/01/11,North West Point Immigration Facility,Code Black called. Large groups gathered at compound. Disagreement over the telephones. Lilac and Aqua clients in the compound as well as Green 1 clients,Green 1,
1-5QP5N9,Assault - Minor,Major,18/01/11,North West Point Immigration Facility,Refer Incident 1-5QNEHD. s. 47F(1) allegedly assalted by unknown client over the use of a toaster.,Marquee,
1-5QNEHD ,Disturbance - Major,Major,18/01/11,North West Point Immigration Facility,Code Black - large group of clients formed at Tent. Alleged argument over a client pushing in to use the toaster.,Marquee TV Tent,
1-5QGBU4 ,Voluntary starvation (<24 hrs),Minor,18/01/11,Curtin IDC,Clients missed 3 meals for the 18th Jan 2011.,CIDC,
1-5QQE49  ,Self Harm - Actual,Critical,18/01/11,North West Point Immigration Facility,Client s. 47F(1) committed self harm by using a pen to stab himself in the stomach. Client attended the Medical centre after self harming. Serco Staff advised of Incident by Paramedic on Duty,Blue 2/Medical,
1-5QD3ES  ,Disturbance - Minor,Minor,18/01/11,Curtin IDC,Client required medical assistance,CIDC Hotel one area,
1-5QDGIQ  ,Disturbance - Minor,Minor,18/01/11,North West Point Immigration Facility,Minor Disturbance in White 2 Compound involving clients s. 47F(1),White 2 Compound,
1-5Q9S7F,Accident/Injury - Serious,Critical,18/01/11,Villawood IDC,Client escorted to Bankstown Hospital for Mental Health Assessment,Bankstown Hospital,
1-5QDG3Z ,Disturbance - Minor,Minor,18/01/11,North West Point Immigration Facility,Clients. 47F(1) was sighted on the roof of White 2 compound,White 2 Compound,
1-5Q9Z5E,Use of Force,Major,18/01/11,Maribyrnong IDC,Client s. 47F(1) attempted to self harm in the IHMS Medical clinic at MIDC,Medical Clinic MIDC,
1-5QDGH2 ,Accident/Injury - Serious,Critical,18/01/11,North West Point Immigration Facility,Client s. 47F(1) slipped and fell over during LA IDC movement to Greenheart in the Green compound corridor,"Green compound corridor, North West Point IDC",
1-5QD48O  ,Disturbance - Minor,Minor,18/01/11,North West Point Immigration Facility,Minor Disturbance between a group of Sri Lankan clients and Iranian clients,Gold 2 Compound,
1-5Q7J0W  ,Failure - Security System,Major,18/01/11,Villawood IDC,Keys taken offsite by Centre Control Officer from Blaxland to westbridge VIDC,Westbridge and Blaxland VIDC,
1-5Q4XTP,Damage - Minor,Minor,18/01/11,Villawood IDC,Client s. 47F(1) has written on his door in Permanent marker.,Dorm 3 Blaxland,
1-5Q7GA0  ,Self Harm - Threatened,Major,18/01/11,North West Point Immigration Facility,Client s. 47F(1) has made verbal threats of self harm,Visits Area - NWP,
1-5Q7J9C,Demonstration - Onsite,Major,18/01/11,North West Point Immigration Facility,Client s. 47F(1) stayed in White 2 on the evening of the 17.01.11. Client s. 47F(1) are now refusing to leave White 2 compound and return to Lilac ,White 2,
1-5Q5IWT,Complaint - re Minor Incident,Minor,18/01/11,Northern IDC,Sealed envelope recieved addressed to third party.,NIDC.,
1-5Q8KEW ,Transfer to APOD,Minor,18/01/11,Northern IDC,Client transfer from NIDC to Perth Medical Transfer.,NIDC,
1-5Q8KAK  ,Self Harm - Threatened,Major,18/01/11,Curtin IDC,Self Harm Attempt - s. 47F(1),Frangiapani Room 123,
1-5Q8JVO,Abusive/Aggressive Behaviour,Minor,18/01/11,North West Point Immigration Facility,Client s. 47F(1) became abusive and started yelling at Serco staff after he was requested to lower his voice so not to disturb othe clients.,White 1 - walkway,
1-5Q5IOX,Accident/Injury - Serious,Critical,17/01/11,Melbourne ITA ,Client s. 47F(1) presented to officers with rash and swelling on advice from the Triage line client was escorted to hospital for a allergic reaction,MITA,
1-5PYCPT  ,Voluntary  Starvation - End of,Minor,17/01/11,Northern IDC,Client has ended VS.,"NIDC, North 1.",
1-5PYCS0,Demonstration - Onsite,Major,17/01/11,Curtin IDC,On site protest involing approximatley 30 clients.,CIDC. Hotel One location.,
1-5RVQCU ,Complaint - re Minor Incident,Minor,17/01/11,North West Point Immigration Facility,Complaint s. 47F(1) not resolved within 3 day time frame,"Aqua compound, LA IDC",
1-5RVQCR ,Complaint - re Minor Incident,Minor,17/01/11,North West Point Immigration Facility,Complaint s. 47F(1) not resolved within 3 day time frame,"Aqua compound, LA IDC",
1-5RVQCO ,Complaint - re Minor Incident,Minor,17/01/11,North West Point Immigration Facility,"Complain s. 47F(1) , not resolved within 3 day time frame","Aqua compound, LA IDC",
1-5RVQCL ,Complaint - re Minor Incident,Minor,17/01/11,North West Point Immigration Facility,"Complain s. 47F(1) , not resolved within 3 day time frame","Aqua compound, LA IDC",
1-5RVQCI,Complaint - re Minor Incident,Minor,17/01/11,North West Point Immigration Facility,"Complain s. 47F(1) , not resolved within 3 day time frame","Aqua compound, LA IDC",
1-5RVQCF ,Complaint - re Minor Incident,Minor,17/01/11,North West Point Immigration Facility,"Complain s. 47F(1) , not resolved within 3 day time frame","Aqua compound, LA IDC",
1-5RVQB8  ,Complaint - re Minor Incident,Minor,17/01/11,North West Point Immigration Facility,"Complain s. 47F(1) , not resolved within 3 day time frame","Aqua compound, LA IDC",
1-5RVQB5  ,Complaint - re Minor Incident,Minor,17/01/11,North West Point Immigration Facility,"Complain s. 47F(1) , not resolved within 3 day time frame","Aqua compound, LA IDC",
1-5RVQB2  ,Complaint - re Minor Incident,Minor,17/01/11,North West Point Immigration Facility,"Complain s. 47F(1) , not resolved within 3 day time frame","Aqua compound, LA IDC",
1-5RVQAP ,Complaint - re Minor Incident,Minor,17/01/11,North West Point Immigration Facility,"Complain s. 47F(1) , not resolved within 3 day time frame","Aqua compound, LA IDC",
1-5RVQAK ,Complaint - re Minor Incident,Minor,17/01/11,North West Point Immigration Facility,"Complain s. 47F(1) , not resolved within 3 day time frame","Aqua compound, LA IDC",
1-5PXO78,Complaint - re Minor Incident,Minor,17/01/11,Northern IDC,Client Com s. 47F(1) has not been resolved within timeframe.,NIDC,
1-5PXOAC ,Damage - Minor,Minor,17/01/11,Northern IDC,Client smashed two windows of the canteen,DARWIN AIRPORT LODGE: Canteen,
1-5PXXDZ  ,Complaint - re Minor Incident,Minor,17/01/11,North West Point Immigration Facility,Complain s. 47F(1) has not been resolved within 3 days.,Aqua/Lilac,
1-5PXXCM ,Complaint - re Minor Incident,Minor,17/01/11,North West Point Immigration Facility,Complain s. 47F(1) has not been resolved within 3 days.,Aqua/Lilac,
1-5PXXCD ,Complaint - re Minor Incident,Minor,17/01/11,North West Point Immigration Facility,Complain s. 47F(1) has not been resolved within 3 days.,Aqua/Lilac,
1-5QD4NQ ,Complaint - re Minor Incident,Minor,17/01/11,Perth IDC,Minor Incident regarding a complaint not resolved within 3 days.,Perth IDC,
1-5PXXBU  ,Complaint - re Minor Incident,Minor,17/01/11,North West Point Immigration Facility,Complain s. 47F(1) has not been resolved within 3 days.,Aqua/Lilac,
1-5PXXB1,Complaint - re Minor Incident,Minor,17/01/11,North West Point Immigration Facility,Complain has not been resolved within 3 days.,Aqua/Lilac,
1-5PXXA8,Complaint - re Minor Incident,Minor,17/01/11,North West Point Immigration Facility,Complaint s. 47F(1) has not been resolved within 3 days.,Aqua/Lilac,
1-5PXX8U,Complaint - re Minor Incident,Minor,17/01/11,North West Point Immigration Facility,Complaint s. 47F(1) has not been resolved within 3 days.,Aqua/Lilac,
